MinimumDistance,MaximumDistance,AverageDistance,StdDev,,
0.7510813,55.064297,26.570362,9.245416,,
0.7510813,55.064297,26.570362,9.245416,,
155.42807,183.38715,169.39093,6.093279,,
1.9832069,49.118107,27.16682,8.794072,,
22.469515,112.750145,63.64788,19.573103,,
25.930866,99.9393,61.99252,11.537834,,
1.4945862,78.96065,42.838284,13.797246,,
9.462678,83.015884,44.25492,10.855163,,
17.181889,112.29677,62.863544,14.555935,,
72.332954,161.30467,114.60506,12.881059,,
3.2459846,95.37832,60.967545,13.415117,,
2.9417303,115.55058,56.025528,28.133066,,
3.3991082,114.4865,58.53787,20.504808,,
50.987747,106.73797,73.303024,12.910938,,
6.9055886,61.798252,31.62146,8.336846,,
15.281386,193.11908,104.67249,29.95631,,
74.551186,181.81117,131.64299,18.231874,,
1.2387531,134.99484,49.976536,23.372044,,
272.6066,477.62424,384.07883,31.621105,,
1.6643816,149.22891,73.863846,24.393091,,
4.963002,136.10744,72.40178,22.912733,,
0.76896095,115.71108,54.435795,20.931036,,
419.35495,514.2138,469.18213,15.825152,,
0.43358037,59.99842,22.839684,9.055332,,
1.4770074,48.760143,20.939249,7.8929114,,
58.43555,260.7306,160.53188,37.3317,,
419.35495,514.2138,469.18213,15.825152,,
0.43358037,59.99842,22.839684,9.055332,,
1.4770074,48.760143,20.939249,7.8929114,,
58.43555,260.7306,160.53188,37.3317,,
1.9332802,83.633316,40.19661,14.414681,,
346.46423,469.87726,408.14505,20.274008,,
346.46423,469.87726,408.14505,20.274008,,
2.737797,119.17228,54.840622,25.97624,,
26.58109,89.3667,57.619312,14.495757,,
31.381226,157.12671,95.86038,20.78758,,
16.683311,177.67285,75.30206,30.506187,,
1.2105902,179.30577,86.23156,32.01057,,
112.250595,211.27654,157.73096,17.447977,,
161.71277,264.69623,212.13121,17.60925,,
136.26718,216.02219,173.672,15.841738,,
184.16489,295.40118,237.09802,19.008837,,
62.23898,220.93678,140.19821,32.99969,,
147.74724,244.7825,194.29904,17.020512,,
138.54489,255.14322,195.18266,20.143269,,
138.54489,255.14322,195.18266,20.143269,,
128.76903,317.9344,206.70782,37.33916,,
123.92417,233.66698,173.80887,23.734026,,
211.75427,281.5074,245.66737,14.1024,,
36.35952,125.34123,77.92107,16.763346,,
79.934685,170.2357,123.234726,15.240878,,
42.24015,155.56297,92.67228,17.862524,,
1.1302552,101.3796,41.368607,21.78376,,
84.47368,154.30865,120.36586,11.452037,,
22.945362,106.47601,63.83539,20.620152,,
42.59721,141.51491,85.383156,14.938534,,
1.191508,90.50956,39.733322,14.121992,,
23.307333,115.16284,70.34534,16.787712,,
23.307333,115.16284,70.34534,16.787712,,
19.874853,133.89693,81.28611,17.23697,,
135.33507,335.6282,222.28511,33.30662,,
29.403952,148.86734,94.09259,18.739098,,
33.027813,141.71492,82.66058,18.263151,,
55.768295,169.30484,114.69295,21.091982,,
37.066814,168.88907,102.403015,20.657187,,
66.03529,165.72939,115.23088,28.509043,,
50.723564,145.77348,96.63498,14.582329,,
1.080134,68.81824,31.104544,13.063115,,
0.5683419,87.92799,38.79252,15.458118,,
17.671255,133.37892,76.405106,22.968445,,
93.733604,182.5399,136.10652,14.0903635,,
4.5641756,84.595795,42.476177,12.898841,,
17.27037,93.26538,55.38015,20.256884,,
29.638199,104.88722,65.34417,12.940081,,
0.5208261,112.1487,49.069004,20.771051,,
20.538895,110.91797,65.09497,14.686882,,
0.668237,58.422382,29.839815,9.692015,,
3.5407703,135.56331,72.86845,23.173042,,
1.6350427,123.953156,58.727825,20.118666,,
1.0372908,153.05615,65.41768,31.245594,,
7.88551,127.55193,75.396225,27.820448,,
28.468538,107.45702,68.589005,12.936209,,
113.94053,154.1403,134.40466,8.3559265,,
79.054634,129.74268,105.403824,11.414076,,
16.819828,103.48279,64.207405,14.465277,,
55.557163,157.50409,106.291664,22.189314,,
73.815735,168.543,119.00055,14.192337,,
93.98904,185.45348,139.4764,15.714178,,
133.71559,182.355,156.7362,10.115858,,
94.176384,169.75093,128.19916,12.097078,,
17.890717,198.00339,97.37366,37.98862,,
12.707245,95.84971,55.781307,13.366755,,
49.325935,144.9828,100.0728,16.322544,,
150.1799,256.35297,204.43697,18.126945,,
45.33497,153.9823,90.30346,18.906538,,
26.606802,104.97249,62.58699,13.650124,,
49.38247,118.921844,86.59599,14.44353,,
5.573873,79.50166,29.98268,15.389891,,
84.30128,164.81499,128.50935,16.108736,,
27.441502,113.165886,52.97358,16.343592,,
