Node1,Node2,MinimumDistance,MaximumDistance,AverageDistance,StdDev,Label
138,196,23.307333,115.16284,70.34534,16.787712,1
138,1200,23.307333,115.16284,70.34534,16.787712,1
138,424,19.874853,133.89693,81.28611,17.23697,1
138,1881,135.33507,335.6282,222.28511,33.30662,1
138,193,29.403952,148.86734,94.09259,18.739098,1
139,142,33.027813,141.71492,82.66058,18.263151,1
139,240,55.768295,169.30484,114.69295,21.091982,1
139,269,37.066814,168.88907,102.403015,20.657187,1
139,980,66.03529,165.72939,115.23088,28.509043,1
139,848,50.723564,145.77348,96.63498,14.582329,1
140,141,1.080134,68.81824,31.104544,13.063115,1
140,142,0.5683419,87.92799,38.79252,15.458118,1
140,240,17.671255,133.37892,76.405106,22.968445,1
140,145,93.733604,182.5399,136.10652,14.0903635,1
140,143,4.5641756,84.595795,42.476177,12.898841,1
140,1264,17.27037,93.26538,55.38015,20.256884,1
140,180,29.638199,104.88722,65.34417,12.940081,1
140,2344,0.5208261,112.1487,49.069004,20.771051,1
140,590,20.538895,110.91797,65.09497,14.686882,1
141,142,0.668237,58.422382,29.839815,9.692015,1
142,269,3.5407703,135.56331,72.86845,23.173042,1
142,552,1.6350427,123.953156,58.727825,20.118666,1
142,439,1.0372908,153.05615,65.41768,31.245594,1
142,240,7.88551,127.55193,75.396225,27.820448,1
142,232,28.468538,107.45702,68.589005,12.936209,1
142,980,113.94053,154.1403,134.40466,8.3559265,1
143,146,79.054634,129.74268,105.403824,11.414076,1
143,196,16.819828,103.48279,64.207405,14.465277,1
143,240,55.557163,157.50409,106.291664,22.189314,1
143,962,73.815735,168.543,119.00055,14.192337,1
143,464,93.98904,185.45348,139.4764,15.714178,1
143,980,133.71559,182.355,156.7362,10.115858,1
143,597,94.176384,169.75093,128.19916,12.097078,1
143,439,17.890717,198.00339,97.37366,37.98862,1
143,704,12.707245,95.84971,55.781307,13.366755,1
145,464,49.325935,144.9828,100.0728,16.322544,1
145,962,150.1799,256.35297,204.43697,18.126945,1
147,245,45.33497,153.9823,90.30346,18.906538,1
147,246,26.606802,104.97249,62.58699,13.650124,1
147,428,49.38247,118.921844,86.59599,14.44353,1
147,227,5.573873,79.50166,29.98268,15.389891,1
147,2277,84.30128,164.81499,128.50935,16.108736,1
153,154,27.441502,113.165886,52.97358,16.343592,1
153,241,20.818157,66.87757,41.50772,9.143465,1
153,463,80.4578,158.50397,124.64852,13.769975,1
155,156,3.6879137,68.70961,33.555115,11.103356,1
155,158,1.147625,99.89771,43.175713,16.505354,1
155,200,22.020647,117.64149,68.36332,16.407515,1
158,217,1.9281083,86.93961,44.27782,14.899122,1
158,222,0.7319396,112.8068,59.481853,20.840305,1
158,448,12.588589,156.13335,86.98767,28.043892,1
163,164,100.93271,116.19168,108.13608,3.1742215,1
163,566,100.93271,116.19168,108.13608,3.1742215,1
163,580,81.171585,140.3539,113.46759,12.402168,1
163,428,92.71394,131.25905,112.274994,8.810504,1
163,524,91.8255,160.26096,127.937096,11.778272,1
163,1088,78.54499,123.01397,99.33243,8.470561,1
163,2720,114.40899,222.1774,171.48215,24.952015,1
163,1346,98.31204,132.78471,114.92744,7.409553,1
164,205,98.31204,132.78471,114.92744,7.409553,1
164,575,28.271534,157.02217,82.40496,30.501234,1
164,606,4.7800636,104.695015,54.24524,22.119055,1
164,592,4.7800636,104.695015,54.24524,22.119055,1
164,624,2.6590714,106.16362,53.697548,24.31044,1
164,204,2.6590714,106.16362,53.697548,24.31044,1
164,595,2.6590714,106.16362,53.697548,24.31044,1
164,625,6.783145,36.792866,19.828611,5.9778886,1
164,576,8.589241,100.833336,58.387424,20.242876,1
164,627,8.589241,100.833336,58.387424,20.242876,1
164,602,8.589241,100.833336,58.387424,20.242876,1
164,675,75.897194,195.92139,140.82164,23.827656,1
164,605,4.3531523,110.98258,52.204685,28.43601,1
164,612,2.0684724,51.10736,23.999384,9.216014,1
164,207,1.2581916,70.71641,32.649185,13.275345,1
164,206,13.063276,171.29155,94.17454,45.59697,1
164,2627,2.1813908,30.831556,13.968857,6.0420356,1
165,1310,4.1301427,80.75056,31.585176,11.020546,1
169,170,437.94897,528.7084,478.63074,14.076256,1
169,171,438.5886,513.6217,476.01132,12.7251835,1
169,218,245.63512,420.3575,332.781,27.637142,1
169,1480,400.81192,483.87433,441.9753,13.704942,1
169,751,400.81192,483.87433,441.9753,13.704942,1
170,171,0.505511,41.079586,16.138327,6.674496,1
170,825,1.4322375,53.856777,21.282259,8.647287,1
170,751,13.742413,79.87361,44.278458,11.487298,1
170,1480,13.742413,79.87361,44.278458,11.487298,1
170,1466,363.73264,478.43787,416.52026,18.858475,1
171,173,55.889626,133.48485,93.22583,13.546931,1
171,751,14.735497,69.28764,41.020164,10.007511,1
171,1480,25.164932,126.68829,73.21724,15.973946,1
173,174,25.164932,126.68829,73.21724,15.973946,1
178,327,46.419815,110.33759,77.88695,11.447729,1
180,193,0.7718819,121.600945,56.551914,21.558353,1
180,1433,0.97337914,69.594,30.136908,11.016308,1
180,1434,22.612144,109.381096,67.22285,15.543325,1
183,225,104.46492,200.76744,147.77235,17.28361,1
183,1774,42.971466,171.00755,98.14781,21.887207,1
189,323,4.698248,113.14095,54.069103,22.366127,1
189,423,295.00293,434.07764,362.7266,28.643269,1
189,314,35.274105,121.09754,74.69855,17.522964,1
190,191,12.252573,92.78594,47.94484,13.902713,1
191,1026,4.203986,130.47937,56.386627,18.360336,1
193,895,4.7237015,155.21263,73.625984,21.256496,1
193,903,4.7237015,155.21263,73.625984,21.256496,1
193,1061,48.15337,173.29465,105.805954,19.340714,1
193,1151,16.075266,139.9424,83.54806,21.450155,1
193,1142,18.480125,156.21857,94.52134,20.84239,1
193,195,85.49582,270.1054,181.26537,32.21604,1
193,1090,0.73128146,192.84831,79.91327,33.660336,1
193,2230,34.629566,143.96747,85.41645,19.015215,1
193,2374,23.699451,207.77104,121.63758,26.302065,1
193,863,40.69979,185.8815,117.63507,24.149109,1
193,586,55.29127,152.44838,105.229065,18.011856,1
193,1888,54.02479,223.62352,143.87392,29.538797,1
193,1056,52.851917,180.13661,118.47269,25.300898,1
193,206,0.4792295,174.84346,76.86898,27.907948,1
195,196,125.272804,233.87294,176.4112,16.26029,1
195,1090,101.23694,268.6145,185.91316,26.835556,1
196,197,33.569057,158.35675,95.75132,22.290998,1
196,633,64.5676,189.1124,127.43148,23.106401,1
196,612,62.4905,136.34938,94.26297,12.791531,1
196,613,62.4905,136.34938,94.26297,12.791531,1
196,645,62.4905,136.34938,94.26297,12.791531,1
196,625,62.488735,115.73616,87.29905,10.462487,1
196,598,63.926865,138.16922,100.23352,13.088177,1
196,648,68.87818,162.0545,116.381874,15.809885,1
196,665,59.05464,157.54929,108.13047,17.256153,1
197,431,1.0557888,98.24945,47.284332,14.885379,1
197,468,10.244643,166.28226,92.27264,24.830982,1
197,1115,5.171151,86.46522,45.051052,13.16618,1
200,201,2.0424004,83.07523,38.683945,14.24246,1
200,202,5.967208,91.733215,42.69185,15.6384,1
200,203,5.2294226,97.93883,46.175682,16.112356,1
201,202,23.997166,94.75389,59.72723,13.295859,1
202,203,0.5549501,76.08525,35.334595,14.547117,1
204,205,0.5549501,76.08525,35.334595,14.547117,1
204,605,0.5549501,76.08525,35.334595,14.547117,1
204,606,0.5549501,76.08525,35.334595,14.547117,1
204,206,0.5549501,76.08525,35.334595,14.547117,1
204,207,0.5549501,76.08525,35.334595,14.547117,1
204,595,0.5549501,76.08525,35.334595,14.547117,1
204,576,0.5549501,76.08525,35.334595,14.547117,1
204,592,0.5549501,76.08525,35.334595,14.547117,1
205,206,0.5549501,76.08525,35.334595,14.547117,1
205,207,0.5549501,76.08525,35.334595,14.547117,1
